12
USD; 4.0811; 4.1635;
EUR; 4.3238; 4.4112;
GBP; 5.0216; 5.1230;
CZK; 0.1601; 0.1633;
CHF; 4.0298; 4.1112;
NOK; 0.4808; 0.4906;
DKK; 0.5818; 0.5936;
SEK; 0.4552; 0.4644;
AUD; 3.0570; 3.1188;
CAD; 3.0351; 3.0965;
JPY; 0.0353; 0.0378
PLN; 1; 1;
